decl,tau,umag,redshift,gmag,av,specname,zmag,lensid,rv,nimg,imgid,ra,extmodel,absimag,ymag,imag,rmag,sfinf,magnorm,fluxnorm,t_0
1.50264666667,403.496899174,23.0065095503,2.95,21.6245167355,0.0,agn.spec,21.2443764793,23580184,3.1,2,1,4.64207061613,CCM,-24.6443865743,21.0731004158,21.2417999285,21.3182571077,0.324745950603,21.910851577,7.49145736699e-17,38.331
1.66150333333,53.8814420125,22.8179428459,1.81,22.6697145522,0.0,agn.spec,22.3549980233,23596921,3.1,2,0,4.64343227681,CCM,-22.1971746253,22.3269411481,22.3582454032,22.6122579312,0.339785642627,22.9437028329,2.8935154791e-17,0.0
1.644245,53.8814420125,21.1031293874,1.81,20.9549010937,0.0,agn.spec,20.6401845648,23596921,3.1,2,1,4.65316964757,CCM,-22.1971746253,20.6121276896,20.6434319447,20.8974444728,0.339785642627,21.2288893744,1.40394855239e-16,51.794
1.79001166667,129.37760822,23.3361499129,2.7,22.3620138119,0.0,agn.spec,21.9828496293,23599338,3.1,2,0,4.64326667751,CCM,-24.8495861922,21.8379649132,22.066437428,22.1148583575,0.220518631353,22.6782746065,3.69485245484e-17,631.624
1.83393833333,129.37760822,21.7300545868,2.7,20.7559184859,0.0,agn.spec,20.3767543032,23599338,3.1,2,1,4.68171398227,CCM,-24.8495861922,20.2318695871,20.4603421019,20.5087630315,0.220518631353,21.0721792804,1.62194166771e-16,0.0
1.96567333333,161.565047361,21.3044985806,2.66,20.3657759406,0.0,agn.spec,19.9845136346,23604395,3.1,2,0,4.67382046105,CCM,-25.3699668554,19.8465718512,20.0965804527,20.1227348212,0.216170010178,20.6887811905,2.3088433446e-16,0.0
1.94568666667,161.565047361,22.577527446,2.66,21.638804806,0.0,agn.spec,21.2575425,23604395,3.1,2,1,4.64431837645,CCM,-25.3699668554,21.1196007166,21.3696093181,21.3957636866,0.216170010178,21.9618100559,7.14797328675e-17,238.479
2.0876,200.256280519,24.1140357072,3.57,22.5499327972,0.0,agn.spec,21.4727667069,23690852,3.1,2,0,4.64844061938,CCM,-24.4829278995,21.5226493199,21.5237971758,21.6517992257,0.260895482617,22.3307522054,5.08869077659e-17,0.0
2.10383666667,200.256280519,25.236945412,3.57,23.672842502,0.0,agn.spec,22.5956764117,23690852,3.1,2,1,4.64862907928,CCM,-24.4829278995,22.6455590247,22.6467068806,22.7747089305,0.260895482617,23.4536619102,1.80901504629e-17,36.268
2.24570666667,110.106033054,22.2681262462,2.43,21.3514128477,0.0,agn.spec,21.0589705273,23708607,3.1,2,0,4.65246523394,CCM,-25.3757001331,20.9085477117,21.2368194399,21.2695627096,0.204884570867,21.7652875457,8.56627327615e-17,93.267
2.26732,110.106033054,21.3741733929,2.43,20.4574599945,0.0,agn.spec,20.1650176741,23708607,3.1,2,1,4.65527239816,CCM,-25.3757001331,20.0145948585,20.3428665867,20.3756098564,0.204884570867,20.8713346924,1.95152026829e-16,0.0
2.40543666667,918.876559214,19.7752633546,1.98,19.6501769914,0.0,agn.spec,19.2191875642,23711258,3.1,2,0,4.63591764738,CCM,-25.7493717568,19.2477743946,19.3713899505,19.5466180211,0.16446031618,19.9236559691,4.67137309962e-16,0.0
2.40026666667,918.876559214,21.1237808104,1.98,20.9986944472,0.0,agn.spec,20.56770502,23711258,3.1,2,1,4.6523987708,CCM,-25.7493717568,20.5962918504,20.7199074063,20.8951354769,0.16446031618,21.272173425,1.34907959375e-16,78.027
2.54811333333,1847.56084796,21.0194727721,2.08,20.8798278885,0.0,agn.spec,20.4289109829,23711751,3.1,2,0,4.6544577475,CCM,-25.4275239854,20.475371318,20.6228161632,20.7698388404,0.256368341938,21.167871305,1.48510931177e-16,126.563
2.56443833333,1847.56084796,20.0877173686,2.08,19.948072485,0.0,agn.spec,19.4971555794,23711751,3.1,2,1,4.63650997519,CCM,-25.4275239854,19.5436159145,19.6910607597,19.8380834369,0.256368341938,20.2361159015,3.50316491435e-16,0.0
2.7016,563.805026564,20.8224030574,2.32,20.0164312965,0.0,agn.spec,19.6982669084,23726167,3.1,2,0,4.6742018671,CCM,-25.2105870397,19.5830096216,19.8777991038,19.9474447967,0.259462228754,20.409001554,2.98748904599e-16,0.0
2.69948333333,563.805026564,20.1827308785,2.32,19.3767591176,0.0,agn.spec,19.0585947295,23726167,3.1,2,1,4.63776475068,CCM,-25.2105870397,18.9433374427,19.238126925,19.3077726178,0.259462228754,19.7693293751,5.38486962767e-16,140.685
2.847135,455.336921198,22.79634483,2.07,22.6611075835,0.0,agn.spec,22.2102638308,23732473,3.1,2,0,4.65719389793,CCM,-24.2344143278,22.257470031,22.4020683188,22.5519656617,0.212672301572,22.9474350389,2.88358612791e-17,333.913
2.85278666667,455.336921198,20.6993677162,2.07,20.5641304696,0.0,agn.spec,20.113286717,23732473,3.1,2,1,4.61855110172,CCM,-24.2344143278,20.1604929171,20.305091205,20.4549885478,0.212672301572,20.8504579251,1.98940760191e-16,0.0
2.99392166667,112.203858234,24.2195323133,2.64,23.2920431086,0.0,agn.spec,22.9122644063,23763341,3.1,4,0,4.64843785914,CCM,-22.5212208283,22.7761552954,23.0393359976,23.0532736687,0.33066284813,23.6204602526,1.55139662429e-17,0.0
2.997345,112.203858234,23.4095788587,2.64,22.482089654,0.0,agn.spec,22.1023109517,23763341,3.1,4,1,4.65460798175,CCM,-22.5212208283,21.9662018408,22.2293825429,22.243320214,0.33066284813,22.810506798,3.27117835566e-17,2.925
2.99924666667,112.203858234,23.2224131047,2.64,22.2949239,0.0,agn.spec,21.9151451976,23763341,3.1,4,2,4.65534232147,CCM,-22.5212208283,21.7790360867,22.0422167889,22.05615446,0.33066284813,22.623341044,3.88660607871e-17,2.84
3.00156,112.203858234,26.1695328211,2.64,25.2420436164,0.0,agn.spec,24.8622649141,23763341,3.1,4,3,4.64875829829,CCM,-22.5212208283,24.7261558032,24.9893365053,25.0032741764,0.33066284813,25.5704607604,2.57467632179e-18,10.662
3.15878666667,60.0137600936,21.1489315805,1.74,20.9979518178,0.0,agn.spec,20.6878532618,23803203,3.1,2,0,4.65610923045,CCM,-24.0523550032,20.6744524445,20.6913897427,20.9257246543,0.226792229505,21.256351174,1.36888345229e-16,0.0
3.14818666667,60.0137600936,21.8850015692,1.74,21.7340218064,0.0,agn.spec,21.4239232504,23803203,3.1,2,1,4.64904021653,CCM,-24.0523550032,21.4105224332,21.4274597313,21.6617946429,0.226792229505,21.9924211626,6.94925867853e-17,42.554
3.30721333333,199.247575339,23.0520653615,2.02,22.9262462586,0.0,agn.spec,22.4805515982,23814602,3.1,2,0,4.64233896326,CCM,-22.4477997446,22.5231505721,22.6573216589,22.8202106096,0.386602648637,23.2044598054,2.27574198049e-17,0.0
3.2961,199.247575339,22.1644720685,2.02,22.0386529656,0.0,agn.spec,21.5929583052,23814602,3.1,2,1,4.65129381204,CCM,-22.4477997446,21.6355572791,21.7697283659,21.9326173166,0.386602648637,22.3168665124,5.15418898155e-17,35.557
3.44385833333,78.4720091068,22.0888782763,1.98,21.9637919131,0.0,agn.spec,21.5328024859,23827374,3.1,2,0,4.65305720726,CCM,-23.1493717568,21.5613893163,21.6850048722,21.8602329428,0.261765564142,22.2372708909,5.54623908217e-17,20.532
3.454435,78.4720091068,20.5128178129,1.98,20.3877314497,0.0,agn.spec,19.9567420225,23827374,3.1,2,1,4.6410354201,CCM,-23.1493717568,19.9853288529,20.1089444088,20.2841724794,0.261765564142,20.6612104275,2.3682239681e-16,0.0
3.5886,290.559811838,23.9094717785,4.06,22.7876565459,0.0,agn.spec,21.3313780971,23834693,3.1,2,0,4.66601827507,CCM,-24.75242868,21.2061205879,21.3315873365,21.549682882,0.381856527825,22.1813063015,5.839617785e-17,0.0
3.609835,290.559811838,24.7716630153,4.06,23.6498477826,0.0,agn.spec,22.1935693339,23834693,3.1,2,1,4.64822483044,CCM,-24.75242868,22.0683118247,22.1937785732,22.4118741188,0.381856527825,23.0434975383,2.63941650333e-17,75.168
3.71549166667,76.4552994687,24.0678483191,4.73,23.6582444697,0.0,agn.spec,21.378799026,23844453,3.1,2,0,4.64660272618,CCM,-25.3518365338,21.4086621821,21.4428127507,22.2091017685,0.263976622712,22.4048206759,4.75311883897e-17,0.0
3.75742333333,76.4552994687,25.228824855,4.73,24.8192210057,0.0,agn.spec,22.539775562,23844453,3.1,2,1,4.65866521957,CCM,-25.3518365338,22.5696387181,22.6037892867,23.3700783045,0.263976622712,23.5657972118,1.63150368268e-17,261.96
3.901215,122.863523482,21.6768236514,1.83,21.5262915222,0.0,agn.spec,21.2076461333,23922253,3.1,2,0,4.64622459054,CCM,-23.1832380401,21.1763796767,21.2142382797,21.4691624013,0.242084830446,21.8029211005,8.27443793877e-17,15.948
3.90299333333,122.863523482,21.7569572564,1.83,21.6064251272,0.0,agn.spec,21.2877797383,23922253,3.1,2,1,4.6571365262,CCM,-23.1832380401,21.2565132816,21.2943718846,21.5492960063,0.242084830446,21.8830547055,7.68572889128e-17,0.0
4.04166833333,206.294212752,24.1843717547,2.44,23.2644164107,0.0,agn.spec,22.9701322053,23936516,3.1,4,0,4.65219548257,CCM,-20.966513208,22.8196603441,23.1491748742,23.1781012083,0.539465209619,23.6776137209,1.47184289177e-17,0.0
4.05260166667,206.294212752,25.749521737,2.44,24.829566393,0.0,agn.spec,24.5352821876,23936516,3.1,4,1,4.64515623747,CCM,-20.966513208,24.3848103264,24.7143248565,24.7432511906,0.539465209619,25.2427637032,3.48178108693e-18,12.293
4.04614666667,206.294212752,23.7113027077,2.44,22.7913473637,0.0,agn.spec,22.4970631583,23936516,3.1,4,2,4.65704592845,CCM,-20.966513208,22.3465912971,22.6761058272,22.7050321613,0.539465209619,23.2045446739,2.27556410001e-17,0.617
4.05296833333,206.294212752,24.0997733205,2.44,23.1798179765,0.0,agn.spec,22.885533771,23936516,3.1,4,3,4.65763072213,CCM,-20.966513208,22.7350619098,23.0645764399,23.0935027741,0.539465209619,23.5930152867,1.59111228332e-17,0.031
4.19618333333,47.4113568814,25.3948441504,4.61,24.8657482568,0.0,agn.spec,22.6836364605,23936774,3.1,2,0,4.65166614113,CCM,-24.181145657,22.742682808,22.8537513657,23.3142322763,0.318960008143,23.7208301364,1.41440860088e-17,79.759
4.21341833333,47.4113568814,25.4927482127,4.61,24.9636523191,0.0,agn.spec,22.7815405228,23936774,3.1,2,1,4.63719394237,CCM,-24.181145657,22.8405868703,22.951655428,23.4121363386,0.318960008143,23.8187341987,1.29244855005e-17,0.0
4.34720166667,830.544714119,22.9363370301,2.51,22.0084355089,0.0,agn.spec,21.6896271804,24066088,3.1,2,0,4.65249719361,CCM,-24.9569932002,21.5460771262,21.8716486264,21.8743724226,0.277197463865,22.4042137173,4.75577671563e-17,51.364
4.36267,830.544714119,21.4179548192,2.51,20.490053298,0.0,agn.spec,20.1712449695,24066088,3.1,2,1,4.64741923231,CCM,-24.9569932002,20.0276949154,20.3532664155,20.3559902118,0.277197463865,20.8858315064,1.92563663872e-16,0.0
4.48337333333,242.637964794,25.075319108,3.35,23.161106189,0.0,agn.spec,22.5113528006,24070119,3.1,2,0,4.65754158151,CCM,-23.6856050698,22.5184725667,22.5912943483,22.6804935664,0.366568273358,23.310574192,2.06384589721e-17,0.0
4.50221833333,242.637964794,25.4563630358,3.35,23.5421501168,0.0,agn.spec,22.8923967284,24070119,3.1,2,1,4.6439312922,CCM,-23.6856050698,22.8995164945,22.9723382761,23.0615374943,0.366568273358,23.6916181198,1.45298019698e-17,83.714
4.64852166667,419.64481805,22.382986712,1.32,22.3277874505,0.0,agn.spec,22.0455813137,24081660,3.1,2,0,4.65232264496,CCM,-22.4814947575,22.0298682585,22.0299856507,22.0628205245,0.300650632239,22.4257762124,4.66225966779e-17,45.54
4.65773,419.64481805,21.9091077888,1.32,21.8539085272,0.0,agn.spec,21.5717023905,24081660,3.1,2,1,4.64576271971,CCM,-22.4814947575,21.5559893353,21.5561067275,21.5889416013,0.300650632239,21.9518972892,7.21353307586e-17,0.0
4.78180166667,456.387369076,20.0889748431,2.3,19.3302245631,0.0,agn.spec,18.9942122979,24082463,3.1,4,0,4.6391787149,CCM,-26.3071024406,18.8982487924,19.1807310333,19.2558907172,0.205618428556,19.7125515693,5.67396059606e-16,0.0
4.80017166667,456.387369076,19.6888558312,2.3,18.9301055512,0.0,agn.spec,18.594093286,24082463,3.1,4,1,4.66013220172,CCM,-26.3071024406,18.4981297805,18.7806120214,18.8557717053,0.205618428556,19.3124325574,8.20226733739e-16,108.737
4.80947333333,456.387369076,19.8632661558,2.3,19.1045158758,0.0,agn.spec,18.7685036106,24082463,3.1,4,2,4.64550423271,CCM,-26.3071024406,18.6725401052,18.9550223461,19.03018203,0.205618428556,19.4868428821,6.98505436077e-16,109.088
4.809605,456.387369076,18.8668774591,2.3,18.1081271791,0.0,agn.spec,17.7721149139,24082463,3.1,4,3,4.65559629366,CCM,-26.3071024406,17.6761514084,17.9586336493,18.0337933332,0.205618428556,18.4904541853,1.74874010064e-15,105.072
4.94376666667,328.286884896,23.5104160443,2.82,22.3436018345,0.0,agn.spec,21.9788819421,24082975,3.1,2,0,4.64941950163,CCM,-24.7884283551,21.8079139399,22.0040871964,22.0808431224,0.224898005805,22.6510668324,3.78861269507e-17,143.241
4.97264,328.286884896,22.1750231052,2.82,21.0082088954,0.0,agn.spec,20.643489003,24082975,3.1,2,1,4.64869680624,CCM,-24.7884283551,20.4725210008,20.6686942573,20.7454501833,0.224898005805,21.3156738933,1.29609664319e-16,0.0
5.08932666667,95.9725131017,21.0034593214,1.8,20.8565892254,0.0,agn.spec,20.5431935965,24088260,3.1,4,0,4.6569324451,CCM,-23.7643797163,20.517198955,20.5452955193,20.7980721814,0.305871121722,21.1287778204,1.53955714992e-16,0.0
5.10689166667,95.9725131017,21.5002267835,1.8,21.3533566875,0.0,agn.spec,21.0399610586,24088260,3.1,4,1,4.65343526666,CCM,-23.7643797163,21.0139664171,21.0420629814,21.2948396434,0.305871121722,21.6255452825,9.74291312682e-17,36.74
5.09859833333,95.9725131017,19.2437818766,1.8,19.0969117806,0.0,agn.spec,18.7835161517,24088260,3.1,4,2,4.64060279709,CCM,-23.7643797163,18.7575215102,18.7856180745,19.0383947366,0.305871121722,19.3691003756,7.78514656147e-16,23.398
5.10133,95.9725131017,19.1441710648,1.8,18.9973009688,0.0,agn.spec,18.6839053399,24088260,3.1,4,3,4.64042375494,CCM,-23.7643797163,18.6579106984,18.6860072627,18.9387839248,0.305871121722,19.2694895638,8.53318414268e-16,23.328
5.26739333333,134.739606429,22.9023678409,2.72,21.904178305,0.0,agn.spec,21.5273519585,24205543,3.1,2,0,4.63643141212,CCM,-24.3408530035,21.3777046257,21.5982759489,21.654911305,0.268670152702,22.2181583768,5.64473544556e-17,0.0
5.24793166667,134.739606429,23.9442015837,2.72,22.9460120479,0.0,agn.spec,22.5691857013,24205543,3.1,2,1,4.65258417413,CCM,-24.3408530035,22.4195383685,22.6401096918,22.6967450479,0.268670152702,23.2599921196,2.16227085883e-17,141.583
5.39332166667,153.001411076,22.9482441876,1.89,22.8045042022,0.0,agn.spec,22.4521630224,24209880,3.1,2,0,4.65021595843,CCM,-23.3535310999,22.42707808,22.4963339748,22.7300016952,0.30519068342,23.0807113449,2.55048283603e-17,269.992
5.42666833333,153.001411076,21.6556182111,1.89,21.5118782257,0.0,agn.spec,21.1595370459,24209880,3.1,2,1,4.64910938073,CCM,-23.3535310999,21.1344521035,21.2037079983,21.4373757187,0.30519068342,21.7880853684,8.38827762562e-17,0.0
5.55284666667,468.969334387,23.4020213852,3.02,21.9085626697,0.0,agn.spec,21.5070535225,24215104,3.1,2,0,4.67404605696,CCM,-24.1778013165,21.3431078395,21.5003304219,21.5726147443,0.332863953573,22.1772836654,5.86129360924e-17,0.0
5.55816666667,468.969334387,24.1617326327,3.02,22.6682739172,0.0,agn.spec,22.26676477,24215104,3.1,2,1,4.64113678416,CCM,-24.1778013165,22.1028190869,22.2600416694,22.3323259918,0.332863953573,22.9369949129,2.91144759924e-17,118.765
5.69466333333,59.7431150285,21.8325499584,1.3,21.7695083076,0.0,agn.spec,21.4978824312,24219898,3.1,4,0,4.6562207581,CCM,-22.3481004696,21.4667268759,21.4764017092,21.5068772607,0.251827841196,21.8646325036,7.81724892979e-17,26.183
5.694455,59.7431150285,21.1077397321,1.3,21.0446980812,0.0,agn.spec,20.7730722048,24219898,3.1,4,1,4.64097537839,CCM,-22.3481004696,20.7419166496,20.7515914829,20.7820670343,0.251827841196,21.1398222773,1.52397566517e-16,0.127
5.70614333333,59.7431150285,21.1717539434,1.3,21.1087122926,0.0,agn.spec,20.8370864162,24219898,3.1,4,2,4.6427189996,CCM,-22.3481004696,20.8059308609,20.8156056942,20.8460812457,0.251827841196,21.2038364887,1.43672069555e-16,10.111
5.70924666667,59.7431150285,21.0848965677,1.3,21.0218549169,0.0,agn.spec,20.7502290405,24219898,3.1,4,3,4.65477527769,CCM,-22.3481004696,20.7190734852,20.7287483185,20.7592238699,0.251827841196,21.1169791129,1.55637876954e-16,0.0
5.84866,222.308854204,20.1051986452,1.93,19.9727984488,0.0,agn.spec,19.5830471189,24288667,3.1,2,0,4.64204859018,CCM,-24.7637096964,19.5792226522,19.6752786841,19.8805608708,0.253883728238,20.2452641271,3.47377185666e-16,0.0
5.850555,222.308854204,21.3851038519,1.93,21.2527036555,0.0,agn.spec,20.8629523255,24288667,3.1,2,1,4.65242261664,CCM,-24.7637096964,20.8591278589,20.9551838908,21.1604660775,0.253883728238,21.5251693337,1.06865915262e-16,23.395
5.99785833333,37.9705921606,22.2533227501,1.68,22.0659291823,0.0,agn.spec,21.7496684203,24328748,3.1,2,0,4.64595618087,CCM,-22.7138255066,21.7578938192,21.7583755745,21.9772084969,0.274599674312,22.3081941695,5.19552304356e-17,54.018
