decl,ra_bulge,dec_bulge,g,redshift,ext_model_bulge,pa_bulge,fluxnorm_bulge,sedname_bulge,b_bulge,i,r,u,ra,a_bulge,y,z,rv_bulge,id,magnorm_bulge,av_bulge
-2.55,7.5,-2.55,17.482548625,0.13,CCM,-145.5595,6.57898865973e-15,Exp.50E09.1Z.spec,2.37230931783,16.3163967,16.66285685,18.8180869569,7.5,2.9254188437,15.9264443515,16.0676252393,3.1,125027,17.0518695134,0.0
-2.4,7.5,-2.4,19.788898645,0.134,CCM,-167.888,7.95221708281e-16,Exp.50E09.1Z.spec,0.710374901929,18.6114941,18.9609818029,21.1217929475,7.5,1.24113628422,18.2212108779,18.3641233259,3.1,131577,19.3460467902,0.0
-2.25,7.5,-2.25,18.037300245,0.134,CCM,-146.8506,3.99142145177e-15,Exp.50E09.1Z.spec,1.76229773034,16.8598957,17.2093834029,19.3701945475,7.5,2.4417067977,16.4696124779,16.6125249259,3.1,136906,17.5944483902,0.0
-2.1,7.5,-2.1,18.141873238,0.14,CCM,175.23,3.6890680719e-15,Exp.50E09.1Z.spec,1.71186493257,16.946682,17.300803698,19.4698979134,7.5,2.3726297403,16.5552745372,16.7020544203,3.1,154028,17.6799756853,0.0
-1.95,7.5,-1.95,18.6288134752,0.142,CCM,87.62923,2.36952995045e-15,Exp.50E09.1Z.spec,1.38293123884,17.4276943,17.7833769185,19.9554692455,7.5,1.913572036,17.0362765365,17.1840537473,3.1,160065,18.1606118517,0.0
-1.8,7.5,-1.8,18.8737475406,0.144,CCM,-123.6533,1.90191870536e-15,Exp.50E09.1Z.spec,1.3437610498,17.666666,18.0241112947,20.1991891576,7.5,1.5973575315,17.2751872481,17.4241128648,3.1,165851,18.3992874836,0.0
-1.65,7.5,-1.65,18.6442286406,0.144,CCM,-171.2415,2.34963016842e-15,Exp.50E09.1Z.spec,1.40109764519,17.4371471,17.7945923947,19.9696702576,7.5,1.88568288415,17.0456683481,17.1945939648,3.1,166828,18.1697685836,0.0
-1.5,7.5,-1.5,18.4751079406,0.144,CCM,148.0544,2.74566653057e-15,Exp.50E09.1Z.spec,1.46742742739,17.2680264,17.6254716947,19.8005495576,7.5,2.09822858909,16.8765476481,17.0254732648,3.1,168380,18.0006478836,0.0
-1.35,7.5,-1.35,17.7503077406,0.144,CCM,111.7025,5.35263796038e-15,Exp.50E09.1Z.spec,1.9492114088,16.5432262,16.9006714947,19.0757493576,7.5,3.04391873165,16.1517474481,16.3006730648,3.1,168456,17.2758476836,0.0
-1.2,7.5,-1.2,17.632327784,0.146,CCM,68.82922,6.00111109489e-15,Exp.50E09.1Z.spec,2.2936217148,16.4193802,16.7786065265,18.9568555979,7.5,2.91374837018,16.0276708958,16.177842796,3.1,175397,17.1516881913,0.0
-1.05,7.5,-1.05,17.861846684,0.146,CCM,75.59628,4.85762636084e-15,Exp.50E09.1Z.spec,2.15416961923,16.6488991,17.0081254265,19.1863744979,7.5,2.5204670842,16.2571897958,16.407361696,3.1,176275,17.3812070913,0.0
-0.9,7.5,-0.9,17.777286284,0.146,CCM,-56.74059,5.25107554893e-15,Exp.50E09.1Z.spec,1.96632348505,16.5643387,16.9235650265,19.1018140979,7.5,2.98086373683,16.1726293958,16.322801296,3.1,176372,17.2966466913,0.0
-0.75,7.5,-0.75,18.0256002674,0.152,CCM,-79.18303,4.25289179183e-15,Exp.50E09.1Z.spec,1.58144666146,16.7943325,17.1587851694,19.3476778997,7.5,3.07284781956,16.4023727668,16.5557137433,3.1,197969,17.5255565257,0.0
-0.6,7.5,-0.6,18.7641140613,0.154,CCM,73.319,2.16747511103e-15,Exp.50E09.1Z.spec,1.31337242782,17.5265541,17.8926755688,20.0852423607,7.5,1.92044004036,17.1344976312,17.2889063357,3.1,202206,18.2573820599,0.0
-0.45,7.5,-0.45,18.9166149535,0.156,CCM,174.762,1.89487388341e-15,Exp.50E09.1Z.spec,1.15168694719,17.6725292,18.0406255805,20.2370507622,7.5,1.93228024603,17.2807632957,17.4361131254,3.1,210055,18.4033165828,0.0
-0.3,7.5,-0.3,18.6146168535,0.156,CCM,-143.0684,2.50253148438e-15,Exp.50E09.1Z.spec,1.65372491058,17.3705311,17.7386274805,19.9350526622,7.5,1.76865049314,16.9787651957,17.1341150254,3.1,210529,18.1013184828,0.0
-0.15,7.5,-0.15,17.9200176535,0.156,CCM,-143.4207,4.74481441076e-15,Exp.50E09.1Z.spec,1.65912846838,16.6759319,17.0440282805,19.2404534622,7.5,3.30550495973,16.2841659957,16.4395158254,3.1,213258,17.4067192828,0.0
