decl,tau,redshift,av,lensid,rv,nimg,imgid,ra,extmodel,absimag,sfinf,magnorm,g,i,r,u,sedname,fluxnorm,y,t_0,z
-5.5436,564.555622973,2.18,0.0,78822114,3.1,2,1,3.14859340614,CCM,-23.5565927912,0.263776348934,21.8054771633,21.491412327,21.264916381,21.3790003081,21.8042711221,agn.spec,8.25498099666e-17,21.0847699719,0.0,21.0573668411
-5.414095,136.295345294,3.17,0.0,78831639,3.1,4,0,3.15388055538,CCM,-23.8879724009,0.300596953336,22.3254970699,22.0944870305,21.6123286803,21.7075198474,23.8358779903,agn.spec,5.11338055028e-17,21.5140108873,0.0,21.6268750373
-5.39821833333,136.295345294,3.17,0.0,78831639,3.1,4,1,3.16339611912,CCM,-23.8879724009,0.300596953336,21.8134129978,21.5824029584,21.1002446082,21.1954357753,23.3237939182,agn.spec,8.19486387746e-17,21.0019268152,32.483,21.1147909652
-5.39791166667,136.295345294,3.17,0.0,78831639,3.1,4,2,3.14161947359,CCM,-23.8879724009,0.300596953336,23.4830477858,23.2520377463,22.7698793961,22.8650705632,24.9934287062,agn.spec,1.76070999197e-17,22.6715616031,106.963,22.7844257532
-5.39126,136.295345294,3.17,0.0,78831639,3.1,4,3,3.1607343059,CCM,-23.8879724009,0.300596953336,21.6861156656,21.4551056261,20.9729472759,21.068138443,23.1964965859,agn.spec,9.21426454672e-17,20.8746294829,29.688,20.987493633
-5.25468666667,400.955966134,3.92,0.0,78847205,3.1,2,0,3.14895561874,CCM,-24.7023088605,0.284438746719,24.0037629396,24.5238257097,23.174404883,23.3385772867,25.7479482273,agn.spec,1.08993793241e-17,23.059249824,172.078,23.1701453983
-5.233065,400.955966134,3.92,0.0,78847205,3.1,2,1,3.14560991662,CCM,-24.7023088605,0.284438746719,22.1847249751,22.7047877452,21.3553669185,21.5195393222,23.9289102628,agn.spec,5.82125941176e-17,21.2402118596,0.0,21.3511074338
-5.10439,277.712877445,2.85,0.0,79052435,3.1,2,0,3.15264547326,CCM,-25.8490178106,0.23685904573,21.6636343377,21.3584639609,21.0094635915,21.0894268374,22.5801348319,agn.spec,9.40704470798e-17,20.8214745301,306.133,20.9948585269
-5.081595,277.712877445,2.85,0.0,79052435,3.1,2,1,3.14322149769,CCM,-25.8490178106,0.23685904573,20.3457220509,20.040551674,19.6915513046,19.7715145505,21.262222545,agn.spec,3.1667816724e-16,19.5035622432,0.0,19.67694624
-4.95465833333,446.460347206,3.56,0.0,79201236,3.1,2,0,3.14807950394,CCM,-25.6581925994,0.21814992444,21.6790535083,21.8771306256,20.8745596325,21.0035358953,23.4633233497,agn.spec,9.27439395577e-17,20.87216514,62.042,20.8227875814
-4.94011833333,446.460347206,3.56,0.0,79201236,3.1,2,1,3.15512076519,CCM,-25.6581925994,0.21814992444,20.6089639563,20.8070410736,19.8044700805,19.9334463432,22.3932337977,agn.spec,2.48497120494e-16,19.802075588,0.0,19.7526980294
-4.802935,161.736618268,2.32,0.0,79603364,3.1,4,0,3.15068573831,CCM,-23.1505870397,0.276990747385,24.7065639028,24.3139936453,24.1753614527,24.2450071455,25.1199654062,agn.spec,5.70533804868e-18,23.8805719704,131.794,23.9958292572
-4.79338333333,161.736618268,2.32,0.0,79603364,3.1,4,1,3.14141990841,CCM,-23.1505870397,0.276990747385,22.1018247884,21.7092545309,21.5706223382,21.6402680311,22.5152262917,agn.spec,6.28314421161e-17,21.2758328559,0.0,21.3910901428
-4.78971833333,161.736618268,2.32,0.0,79603364,3.1,4,2,3.15320958982,CCM,-23.1505870397,0.276990747385,21.2690189329,20.8764486754,20.7378164828,20.8074621756,21.6824204363,agn.spec,1.35300490174e-16,20.4430270005,7.865,20.5582842873
-4.78944666667,161.736618268,2.32,0.0,79603364,3.1,4,3,3.14989630299,CCM,-23.1505870397,0.276990747385,21.1879093268,20.7953390693,20.6567068766,20.7263525695,21.6013108301,agn.spec,1.45795195459e-16,20.3619173943,8.402,20.4771746812
-4.65154,224.277294184,2.67,0.0,79757697,3.1,2,0,3.1518594537,CCM,-25.6945756625,0.190321683207,22.0854923513,21.7645671733,21.4880172873,21.5202710558,22.7105318047,agn.spec,6.378374321e-17,21.2441578305,47.798,21.3833570926
