#SourceID Photons AvgX AvgY
246839847 154 3877.331169 4022.785714
246838629 3 3770.333333 4200.333333
246840103 1071 3896.097106 3998.857143
246843441 178 4190.769663 3512.151685
246841400 53 3993.415094 3898.415094
246840224 662 3885.945619 4104.870091
246842314 121580 4066.430581 3815.419987
246842772 18 4106.666667 3756.777778
246843255 52 4134.596154 3760.884615
246842698 134 4083.902985 3862.544776
246843722 5 4151.400000 3826.800000
246840726 18 3882.444444 4296.722222
246840449 13 3852.538462 4365.846154
246846288 3160 4367.289557 3513.769304
246842815 12 4060.666667 4031.916667
246846093 12 4343.166667 3592.750000
249027712 2941 4261.495410 3737.256035
246846837 761 4386.244415 3593.228647
246843075 2300 4055.170870 4150.214783
246842166 54 3974.666667 4288.462963
246844679 43 4193.674419 3916.651163
246841814 87 3940.666667 4355.850575
246845490 65 4242.246154 3928.215385
246846219 19 4299.631579 3868.210526
246845411 203 4226.615764 3992.216749
246843034 109 4013.715596 4353.807339
246844383 14 4133.571429 4173.142857
248747454 2242 4271.005798 3962.462979
248747271 270 4103.796296 4260.414815
246844026 32 4075.187500 4370.000000
246844127 16 4075.250000 4406.812500
246845104 79 4150.468354 4319.139241
246846929 232 4304.762931 4075.620690
246846767 18 4265.166667 4242.055556
246847078 23 4279.130435 4266.869565
246847406 125 4296.200000 4276.560000
246846632 28 4230.214286 4398.428571
246848177 2148 4359.445996 4186.152235
246846528 479 4219.354906 4427.436326
246847272 27615 4277.738367 4341.442223
246848123 91 4330.461538 4326.681319
246848322 35 4339.200000 4344.885714
292922693 29 2158.862069 4210.758621
292922712 10 2380.600000 4103.100000
292922782 18 3088.833333 3127.555556
292922772 126 2915.436508 3633.142857
292890027 112 3702.330357 4152.678571
248743321 9844 1878.387343 195.247054
246811311 66 2094.469697 -156.196970
246807703 119 1773.058824 409.268908
249026335 3005 1907.446589 210.255574
246807894 36 1776.277778 465.722222
246807121 180 1705.238889 614.622222
246812330 53 2150.188679 -121.169811
246808085 294 1783.799320 492.833333
246808636 76 1825.855263 438.855263
246813252 5 2219.200000 -187.800000
248743591 14754 2025.499932 213.287719
246815545 1001 2399.618382 -389.630370
246810685 2197 1972.468821 326.238507
246813491 42 2205.761905 -17.904762
246813031 1197 2163.456976 55.593985
246815435 52 2373.538462 -285.653846
249026357 11409 1897.383644 519.615391
246809634 2259 1852.339531 649.913679
246809605 16 1844.562500 682.625000
246817450 17 2514.705882 -374.588235
249026442 752993 2090.287545 336.548519
248743124 44 1604.636364 1158.363636
246809218 63 1792.142857 853.746032
246809681 342 1823.690058 826.599415
246816551 25 2419.640000 -154.320000
246818208 21 2554.333333 -329.619048
246808943 21 1740.476190 1046.952381
246816419 2419 2387.912360 -32.756511
246809173 137 1756.861314 1030.861314
249026343 7665 1794.051794 960.455708
246814987 51 2260.803922 201.921569
246807156 17084 1582.011473 1334.668052
246807935 39 1643.487179 1248.512821
246814778 7 2235.285714 266.571429
246808265 2489 1670.116914 1209.567296
246812084 533 1999.360225 664.437148
246808799 46 1712.913043 1152.304348
246814624 10 2214.300000 323.200000
246812357 354 2016.607345 659.367232
246812067 10 1994.600000 699.900000
246813196 105 2089.742857 543.171429
246810807 552 1879.302536 906.628623
246809763 3976 1786.362676 1069.300050
