SourceID Photons AvgX AvgY
1158269933.400000 186701 1024.130331 1204.377154
588514630.400000 3634 1038.856357 1219.011282
426055650.400000 424717 952.439351 890.182583
1167413494.400000 3962 909.943968 894.852852
1099059333.400000 63 884.666667 1016.857143
990067023.400000 9649 702.099181 971.015338
1099058543.400000 1255 724.489243 890.247809
990067084.400000 2520 815.550794 990.521032
1108249356.400000 823 525.963548 1778.402187
1167412352.400000 285 542.908772 1944.698246
990067091.400000 3651 1047.935634 1983.096686
818809698.400000 41863059 94.231561 183.384459
1167412685.400000 118 589.864407 1362.949153
426055223.400000 292 470.246575 1542.873288
1099057164.400000 92 567.456522 1277.836957
1099057940.400000 147 729.380952 1403.850340
1108249920.400000 7249 777.727135 1415.064561
1099059530.400000 64838 1118.286406 1920.784324
990067181.400000 19718 1151.757024 1826.486256
1158269920.400000 154 1127.785714 1773.974026
1158269958.400000 59038 1184.835089 1824.562621
1099058904.400000 379473 1006.431662 1891.345379
1099059620.400000 290 1119.244828 1863.993103
1099060567.400000 3911 1202.957044 1553.718486
818810346.400000 1825 1214.306301 1535.639452
1099059835.400000 148 1086.425676 1549.290541
1099059157.400000 20 931.650000 1359.950000
1099059663.400000 3195 1048.497027 1513.107042
990066708.400000 8033263 173.472474 825.703450
426055240.400000 32408 453.818779 1314.097383
426055079.400000 20617 184.968958 1240.355241
818808188.400000 24284 51.970433 1509.592695
1099053862.400000 294 14.302721 928.445578
818808299.400000 994 63.563380 1270.620724
818808569.400000 24990454 33.918528 218.567429
1099054856.400000 1634 179.413709 1369.547736
1099054387.400000 125 106.288000 1318.792000
818808719.400000 318703 327.653725 1550.937848
1167413056.400000 972 607.967078 464.787037
990066995.400000 2101 572.806283 598.026178
818809508.400000 1191 544.575147 571.928631
1108249842.400000 28738 563.309347 652.266094
1099057874.400000 1680 532.560119 579.540476
818808499.400000 144293 -3.590264 130.710159
1167411873.400000 321 -31.613707 427.520249
1099056801.400000 448 418.312500 867.861607
1099057290.400000 229 513.930131 954.144105
588514505.400000 6445 376.050737 979.500078
1167412467.400000 3781 323.264480 676.941550
1099054172.400000 485021 -16.825636 135.881776
1158269294.400000 2129 -90.555660 613.967590
1158269496.400000 1494 338.487282 1021.846051
1108249391.400000 11161 395.308395 1108.384733
1167412406.400000 10755 397.778615 1164.633008
1099055339.400000 41852 210.957015 1113.361918
1108249039.400000 2168 182.777675 1011.512454
1099054413.400000 259 7.200772 931.664093
818808489.400000 6693 69.366652 908.702973
1099063497.400000 155 1865.722581 2342.103226
818811162.400000 2630 1897.024335 2577.748669
1099062980.400000 102 1798.088235 2443.382353
1099060272.400000 2577 1306.765619 2237.840512
1099061005.400000 15496 1483.262519 2514.313113
1108250942.400000 119 1502.915966 2347.126050
1099062270.400000 7604631 852.613619 1394.676976
818810772.400000 1626 1749.754613 2885.781673
1167414516.400000 144 1842.513889 2675.208333
1167414355.400000 5199 1747.422389 2627.125601
426055849.400000 6768 1654.070922 2758.567671
1099061775.400000 170 1623.700000 2565.323529
1099055425.400000 156 430.512821 2039.480769
1099056639.400000 93 677.354839 2166.344086
1167412574.400000 87 781.919540 2513.160920
1099057487.400000 987 912.337386 2601.758865
588514552.400000 390112 815.372878 2246.547945
1099057389.400000 3068 856.718057 2415.225554
426055325.400000 423 817.394799 2332.328605
1099057042.400000 367 767.583106 2277.757493
1099060336.400000 926 1578.473002 3429.951404
1108251200.400000 3123 1806.548511 3118.730387
1099062088.400000 123 1798.398374 3108.658537
1099060634.400000 867 1557.498270 3114.957324
1167413963.400000 579 1646.810017 3104.022453
1167413479.400000 577 1406.012132 3182.762565
818810110.400000 1137 1421.253298 3114.729991
1108250182.400000 145 1259.227586 2984.696552
1167413653.400000 31607 1491.557566 3139.965767
1099059675.400000 134181 1448.763976 3323.273541
818810309.400000 5555 1557.645905 3200.801080
588514631.400000 547056 1478.895267 3179.749993
1099058604.400000 5285 1108.682687 2572.499527
818809899.400000 22735 1252.310974 2840.422168
1167413993.400000 7282 1589.077726 2769.898242
1099059716.400000 283 1214.579505 2222.494700
1167413813.400000 59 1449.728814 2540.677966
426055671.400000 1515 1332.883828 2458.492409
1099059534.400000 266847 1224.999726 2393.836254
1099059560.400000 2705 1217.105360 2343.352311
1099059808.400000 682 1275.775660 2431.816716
1158269967.400000 1626 1366.402829 2583.765068
588514611.400000 15903 1276.773062 2690.830724
1108250405.400000 208 1286.942308 2619.769231
1099059722.400000 8452 1299.516682 2635.927709
1099060087.400000 177 1382.022599 2713.322034
1099059856.400000 129 1344.186047 2698.162791
1167410853.400000 177116 77.081579 3372.115676
1108247717.400000 79 -18.088608 3168.898734
818807897.400000 1144 191.525350 2804.829545
990066265.400000 2214 -72.228094 2785.578591
