#The following SEDs are for the blue horizontal branch stars in the catalog
#These are Kurucz models
#sedfilename,number
bergeron_20000_80.dat_20000,174
bergeron_16500_85.dat_16600,8
bergeron_13500_75.dat_14000,4
bergeron_14500_85.dat_14900,11
bergeron_20000_80.dat_23000,150
bergeron_2250_75.dat_2350,1
bergeron_20000_85.dat_22000,21
bergeron_16000_80.dat_16500,61
bergeron_17000_70.dat_18800,1
bergeron_15500_75.dat_15800,3
bergeron_17000_85.dat_18800,16
bergeron_20000_80.dat_22000,144
bergeron_20000_85.dat_23000,11
bergeron_2500_75.dat_2550,2
bergeron_17000_75.dat_20000,49
bergeron_17000_80.dat_19400,150
bergeron_20000_85.dat_24000,16
bergeron_25000_85.dat_28000,6
bergeron_25000_85.dat_29000,2
bergeron_16500_85.dat_16800,12
bergeron_20000_70.dat_21000,2
bergeron_2750_80.dat_2950,3
bergeron_3000_80.dat_3050,5
bergeron_3000_80.dat_3150,12
bergeron_17000_75.dat_18800,51
bergeron_20000_85.dat_20000,22
bergeron_13500_85.dat_13500,16
bergeron_2500_75.dat_2750,1
bergeron_2750_80.dat_3000,3
bergeron_25000_80.dat_28000,47
bergeron_17000_85.dat_17000,20
bergeron_2750_75.dat_2950,5
bergeron_20000_70.dat_22000,3
bergeron_2750_80.dat_2800,1
bergeron_3250_75.dat_3250,11
bergeron_20000_75.dat_24000,29
bergeron_3250_75.dat_3300,17
bergeron_3250_80.dat_3300,17
bergeron_25000_80.dat_29000,48
bergeron_25000_85.dat_27000,8
bergeron_3000_75.dat_3000,6
bergeron_17000_85.dat_17600,18
bergeron_2750_80.dat_2850,3
bergeron_30000_75.dat_34000,1
bergeron_25000_75.dat_28000,3
bergeron_30000_80.dat_33000,10
bergeron_25000_85.dat_26000,6
bergeron_30000_75.dat_33000,1
bergeron_20000_75.dat_25000,21
bergeron_25000_75.dat_27000,7
bergeron_15500_80.dat_15700,62
bergeron_3000_75.dat_3050,7
bergeron_30000_85.dat_30000,3
bergeron_14000_75.dat_14300,13
bergeron_25000_85.dat_25000,5
bergeron_25000_80.dat_25000,88
bergeron_3500_75.dat_3550,18
bergeron_3500_75.dat_3500,17
bergeron_3250_75.dat_3400,12
bergeron_20000_85.dat_21000,17
bergeron_25000_75.dat_26000,14
bergeron_2750_75.dat_2850,3
bergeron_15500_85.dat_15700,16
bergeron_3250_80.dat_3450,57
bergeron_35000_80.dat_37000,3
bergeron_15500_85.dat_16000,13
bergeron_3250_80.dat_3500,88
bergeron_3500_85.dat_3600,1
bergeron_35000_80.dat_35000,2
bergeron_3500_80.dat_3750,151
bergeron_3000_75.dat_3100,12
bergeron_3750_75.dat_3850,59
bergeron_16500_85.dat_16900,4
bergeron_17000_85.dat_18200,18
bergeron_3750_75.dat_3950,57
bergeron_3000_75.dat_3200,17
bergeron_20000_75.dat_21000,48
bergeron_30000_75.dat_30000,3
bergeron_30000_85.dat_31000,1
bergeron_30000_85.dat_33000,1
bergeron_3500_80.dat_3550,90
bergeron_3000_80.dat_3100,7
bergeron_3500_75.dat_3700,27
bergeron_3750_80.dat_3950,237
bergeron_17000_75.dat_17000,30
bergeron_3750_80.dat_3800,146
bergeron_3250_80.dat_3400,32
bergeron_35000_80.dat_36000,1
bergeron_3750_85.dat_3750,5
bergeron_17000_80.dat_18800,159
bergeron_17000_85.dat_19400,23
bergeron_3750_75.dat_3900,60
bergeron_4000_75.dat_4000,65
bergeron_3250_75.dat_3350,17
bergeron_3500_75.dat_3600,37
bergeron_35000_75.dat_35000,1
bergeron_2250_80.dat_2350,1
bergeron_3750_85.dat_3900,15
bergeron_4000_75.dat_4050,51
bergeron_2500_75.dat_2700,1
bergeron_3500_80.dat_3600,72
bergeron_3500_85.dat_3700,1
bergeron_25000_80.dat_26000,76
bergeron_20000_75.dat_23000,46
bergeron_3500_85.dat_3550,1
bergeron_30000_75.dat_32000,1
bergeron_3000_80.dat_3200,17
bergeron_3750_80.dat_3900,230
bergeron_3500_80.dat_3650,89
bergeron_17000_80.dat_17000,134
bergeron_3750_75.dat_3800,35
bergeron_3250_75.dat_3450,18
bergeron_3500_85.dat_3650,2
bergeron_4000_75.dat_4100,58
bergeron_3250_80.dat_3250,11
bergeron_25000_80.dat_30000,30
bergeron_4000_90.dat_4150,2
bergeron_4000_85.dat_4050,14
bergeron_4000_70.dat_4100,10
bergeron_35000_80.dat_40000,1
bergeron_3750_85.dat_3850,5
bergeron_4000_85.dat_4150,26
bergeron_3750_85.dat_3950,10
bergeron_40000_80.dat_42000,1
bergeron_2750_75.dat_2900,4
bergeron_4000_70.dat_4150,11
bergeron_4000_85.dat_4250,349
bergeron_4000_80.dat_4050,294
bergeron_40000_85.dat_45000,1
bergeron_4000_85.dat_4200,189
bergeron_40000_80.dat_44000,1
bergeron_4250_65.dat_4450,23
bergeron_4250_65.dat_4400,94
bergeron_4000_70.dat_4200,13
bergeron_20000_80.dat_24000,99
bergeron_4000_80.dat_4100,389
bergeron_4000_80.dat_4150,435
bergeron_30000_80.dat_31000,15
bergeron_4250_70.dat_4400,28
bergeron_4000_75.dat_4150,53
bergeron_4000_80.dat_4000,283
bergeron_3250_80.dat_3350,25
bergeron_4000_85.dat_4000,15
bergeron_30000_80.dat_32000,11
bergeron_4250_80.dat_4250,472
bergeron_4250_85.dat_4350,306
bergeron_30000_85.dat_34000,1
bergeron_4250_80.dat_4450,300
bergeron_4250_75.dat_4350,26
bergeron_3750_80.dat_3850,167
bergeron_25000_80.dat_27000,66
bergeron_4250_85.dat_4450,227
bergeron_4000_85.dat_4100,17
bergeron_4500_65.dat_4750,151
bergeron_4250_85.dat_4500,268
bergeron_4000_90.dat_4200,1
bergeron_4500_65.dat_4700,72
bergeron_3000_75.dat_3150,15
bergeron_4500_70.dat_4600,24
bergeron_4500_70.dat_4500,118
bergeron_3500_75.dat_3650,33
bergeron_30000_80.dat_34000,2
